τεθνηκότων,ξυμφυγόντες,μνηστηροφονίαν,καταλυομένων,εὐδαιμονιζομένων
πλανῶν,Ἀρταμουξία,ἀποκαλυφθήσεται,ἀτταταῖ,σφαγήσεται
Βῆσσον,Βήσσου,Σπιταμένην,Σπιταμένους,Σπιταμένης
Ἁβροκόμη,Ἄνθεια,Ἁβροκόμης,Ἁβροκόμου,δυστυχεστάτη
κοινώσας,κοινώσαντες,ἐκοινώσατο,προσπόλοις,κοινώσασθαι
Ξανθία,βάκκαριν,Ξανθίας,τανηλεγέος,Τελέστης
πυλάρταο,Ἐρέβευς,Ἀΐδαο,Ἀίδαο,εὖτέ
ἐμπόρων,ναυκλήρων,ἐμπόροις,εὐκαίρους,ἐμπόρους
χειρούμενοι,χειρούμενον,χειρούμενος,ἀνακτησάμενος,ἀμαχεὶ
δωρεὴν,δεομένοισι,ἀπικομένοισι,Ἱστιαίου,Μύρκινον
βλεπόντων,ὑφελόμενοι,ἀποκλείσαντες,ἰσοδυναμούντων,ἀστραπήν
δουλεύοντα,Ὀμφάλῃ,ἐλεύθερόν,παρόμοια,ἀτίμῳ
ἔσκωπτεν,ἔπαιζεν,βλαβεὶς,ἐμβλέψασα,συνηγμένος
Πυθοκλῆς,Πυθοκλεῖ,Πυθοκλέα,Μένυλλος,Ἡγήμων
</s>,ἐρίπνῃ,·,,,αἰχμητῆρα
ἐνσεῖσαι,ὁμολογουμένους,ἀπεῖρξε,τραγηματίζεσθαι,κατατεινομένου
Βῆλος,Βῆλον,Ἄμμων,Μάντικλος,Αἰγυπτίης
κατοικήσαντα,κατοικήσας,κατοικήσαντες,γεννῆσαι,διαπολεμῆσαι
πετροβόλοις,πετροβόλους,περιστρατοπεδεύσαντες,περιεστρατοπέδευσε,περιστρατοπεδεύσας
Κέφαλος,Κέφαλον,Ἀριστωνύμου,Πρόκριν,Ἀριστόμαχος
ἀντέλεγον,ἐπλήσθησαν,ἰσοθέοις,κατέλεγον,ἀντέλεγε
ἡθροισμένων,ἡθροισμένους,ἡθροίσθησαν,ἀνυπονοήτως,κτῆσίν
κοσμικὰς,κοσμικῶν,ἔκαμψαν,ζήσωμεν,ἐπιθυμίας
Ἀρταμουξία,ἐβουλεύεσθε,Ἄμβρακον,Φιλίππου,Κερσοβλέπτου
Πλάγκος,Ἀσίνιος,Πλάγκον,Λέπιδος,Πλάγκου
ληρῶ,Ἀρταμουξία,χεζητιῶν,ἕψῃ,ἐκμεμάθηκα
Ἀρταμουξία,φιληρέτμοισι,ἔπειραν,ἐλυπήθητε,προσαγορεύεις
ναῦς,νεῶν,καταστρώματα,τριήρεις,ἀναχθέντων
